FID,FID_1,FID_1_1,DISTRICTID,NAME,AGENCY,AGENCYURL,CONTACT,PHONE,EMAIL,SUBTYPEFIE,LASTUPDATE,LASTEDITOR,created_us,created_da,last_edite,last_edi_1,SHAPE_Leng,SHAPE_Area,Count_,Sum_Zip,Sum_Buildi,Sum_Number,Sum_Width,Sum_Length,Sum_Square,Sum_Numb_1,Sum_Occupa,Sum_Latitu,Sum_YearBu,Sum_Longit,Sum_Assess,Sum_Statio,Count_1,Sum_totalR,Sum_Exposu,Sum_Patien,Sum_RunNum,Sum_Lati_1,Sum_Long_1
11,11,11,415,Fire Station 4,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,14494.280910199999000,4444642.638030000000000,6,369630,0.000000000000000,5,100,70,32000,0,125,244.102978200000000,1898,-537.713851399999950,0,24,9,18846,9,0,1616000000000.000000000000000,366.157919800000000,-806.572280800000040
12,12,12,208,Fire Station 2,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,13890.275350899999000,5472377.478199999800000,7,431235,0.000000000000000,11,350,500,272700,1,1304,284.793220099999980,3845,-627.279171499999960,0,20,5,10470,5,0,1010000000000.000000000000000,203.432087800000010,-448.069441600000000
13,13,13,406,Fire Station 4,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,17130.602090400000000,8612403.844440000100000,0,0,0.000000000000000,0,0,0,0,0,0,0.000000000000000,0,0.000000000000000,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
14,14,14,417,Fire Station 4,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,5902.431007260000100,1207893.332920000000000,2,123212,0.000000000000000,2,0,0,12400,2,10,81.385064600000007,0,-179.244854000000000,0,6,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
15,15,15,101,Fire Central,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,5213.222518870000400,1508341.327800000100000,14,862435,132.000000000000000,14,339,617,115820,7,38,569.628346800000030,13384,-1254.296483300000100,2488650,56,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
16,16,16,107,Fire Central,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,10982.852500999999000,4322700.931819999600000,20,1232062,75.000000000000000,26,436,500,213108,0,225,813.909005900000010,0,-1791.696918899999900,0,26,3,6282,3,0,606000000000.000000000000000,122.089039900000000,-268.754789800000030
17,17,17,103,Fire Central,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,10697.584632800001000,3913951.586670000100000,14,862443,103.000000000000000,23,175,450,374685,105,130,569.734217100000020,4002,-1254.344199100000000,0,31,2,4188,2,0,404000000000.000000000000000,81.391491500000001,-179.204018100000010
18,18,18,105,Fire Central,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,9739.556147069999500,2972967.652180000200000,27,1663541,72.000000000000000,40,270,310,931952,1,234,1098.862361100000000,1954,-2419.057946400000200,0,25,3,6282,3,0,606000000000.000000000000000,122.093554299999990,-268.783539400000000
19,19,19,108,Fire Central,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,8701.838544790000000,3946396.371390000000000,21,1293696,110.000000000000000,19,0,0,163000,1,60,854.784039200000050,2016,-1881.415639200000000,19984200,48,4,8376,4,0,808000000000.000000000000000,162.819911499999990,-358.364269900000010
20,20,20,106,Fire Central,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,12089.146280499999000,2044574.986820000000000,5,308014,107.000000000000000,8,195,378,84750,0,90,203.479561200000010,0,-447.943114200000020,0,5,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
21,21,21,314,Fire Station 3,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,15959.356010899999000,7982050.689779999700000,10,616060,46.000000000000000,13,100,140,431916,0,2035,407.024870599999990,3837,-896.007268100000030,0,22,7,14658,7,0,1414000000000.000000000000000,284.927499000000010,-627.218888600000010
22,22,22,113,Fire Central,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,14372.081411200001000,4814211.890239999600000,2,123206,0.000000000000000,1,94,176,16544,0,225,81.406764400000000,2016,-179.167797799999990,0,2,7,14658,7,0,1414000000000.000000000000000,284.955848300000010,-627.099611500000040
23,23,23,115,Fire Central,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,13533.495438200000000,4956611.456530000100000,8,492822,68.000000000000000,5,75,150,32200,2,291,325.631531300000010,3486,-716.559325500000000,0,39,2,4188,3,0,404000000000.000000000000000,81.413380599999996,-179.141973799999990
